"","item","regular_price","silver_price","gold_price","iridium_price","profession"
"1","Amaranth",150,187,225,300,NA
"2","Amaranth",165,205,247,330,"Tiller"
"3","Ancient_Fruit",550,687,825,1100,NA
"4","Ancient_Fruit",605,755,907,1210,"Tiller"
"5","Apple",100,125,150,200,NA
"6","Apple",110,137,165,220,"Tiller"
"7","Apricot",50,62,75,100,NA
"8","Apricot",55,68,82,110,"Tiller"
"9","Artichoke",160,200,240,320,NA
"10","Artichoke",176,220,264,352,"Tiller"
"11","Banana",150,187,225,300,NA
"12","Banana",165,205,247,330,"Tiller"
"13","Beet",100,125,150,200,NA
"14","Beet",110,137,165,220,"Tiller"
"15","Blue_Jazz",50,62,75,100,NA
"16","Blue_Jazz",55,68,82,110,"Tiller"
"17","Blueberry",50,62,75,100,NA
"18","Blueberry",55,68,82,110,"Tiller"
"19","Bok_Choy",80,100,120,160,NA
"20","Bok_Choy",88,110,132,176,"Tiller"
"21","Broccoli",70,87,105,140,NA
"22","Broccoli",77,95,115,154,"Tiller"
"23","Carrot",35,43,52,70,NA
"24","Carrot",38,47,57,77,"Tiller"
"25","Cauliflower",175,218,262,350,NA
"26","Cauliflower",192,239,288,385,"Tiller"
"27","Cherry",80,100,120,160,NA
"28","Cherry",88,110,132,176,"Tiller"
"29","Corn",50,62,75,100,NA
"30","Corn",55,68,82,110,"Tiller"
"31","Cranberries",75,93,112,150,NA
"32","Cranberries",82,102,123,165,"Tiller"
"33","Eggplant",60,75,90,120,NA
"34","Eggplant",66,82,99,132,"Tiller"
"35","Fairy_Rose",290,362,435,580,NA
"36","Fairy_Rose",319,398,478,638,"Tiller"
"37","Fiddlehead_Fern",90,112,135,180,NA
"38","Fiddlehead_Fern",99,123,148,198,"Tiller"
"39","Garlic",60,75,90,120,NA
"40","Garlic",66,82,99,132,"Tiller"
"41","Green_Bean",40,50,60,80,NA
"42","Green_Bean",44,55,66,88,"Tiller"
"43","Hops",25,31,37,50,NA
"44","Hops",27,34,40,55,"Tiller"
"45","Hot_Pepper",40,50,60,80,NA
"46","Hot_Pepper",44,55,66,88,"Tiller"
"47","Kale",110,137,165,220,NA
"48","Kale",121,150,181,242,"Tiller"
"49","Mango",130,162,195,260,NA
"50","Mango",143,178,214,286,"Tiller"
"51","Melon",250,312,375,500,NA
"52","Melon",275,343,412,550,"Tiller"
"53","Orange",100,125,150,200,NA
"54","Orange",110,137,165,220,"Tiller"
"55","Parsnip",35,43,52,70,NA
"56","Parsnip",38,47,57,77,"Tiller"
"57","Peach",140,175,210,280,NA
"58","Peach",154,192,231,308,"Tiller"
"59","Pineapple",300,375,450,600,NA
"60","Pineapple",330,412,495,660,"Tiller"
"61","Pomegranate",140,175,210,280,NA
"62","Pomegranate",154,192,231,308,"Tiller"
"63","Poppy",140,175,210,280,NA
"64","Poppy",154,192,231,308,"Tiller"
"65","Potato",80,100,120,160,NA
"66","Potato",88,110,132,176,"Tiller"
"67","Powdermelon",60,75,90,120,NA
"68","Powdermelon",66,82,99,132,"Tiller"
"69","Pumpkin",320,400,480,640,NA
"70","Pumpkin",352,440,528,704,"Tiller"
"71","Radish",90,112,135,180,NA
"72","Radish",99,123,148,198,"Tiller"
"73","Red_Cabbage",260,325,390,520,NA
"74","Red_Cabbage",286,357,429,572,"Tiller"
"75","Rhubarb",220,275,330,440,NA
"76","Rhubarb",242,302,363,484,"Tiller"
"77","Starfruit",750,937,1125,1500,NA
"78","Starfruit",825,1030,1237,1650,"Tiller"
"79","Strawberry",120,150,180,240,NA
"80","Strawberry",132,165,198,264,"Tiller"
"81","Summer_Spangle",90,112,135,180,NA
"82","Summer_Spangle",99,123,148,198,"Tiller"
"83","Summer_Squash",45,56,67,90,NA
"84","Summer_Squash",49,61,73,99,"Tiller"
"85","Sunflower",80,100,120,160,NA
"86","Sunflower",88,110,132,176,"Tiller"
"87","Taro_Root",100,125,150,200,NA
"88","Taro_Root",110,137,165,220,"Tiller"
"89","Tomato",60,75,90,120,NA
"90","Tomato",66,82,99,132,"Tiller"
"91","Tulip",30,37,45,60,NA
"92","Tulip",33,40,49,66,"Tiller"
"93","Unmilled_Rice",30,37,45,60,NA
"94","Unmilled_Rice",33,40,49,66,"Tiller"
"95","Wheat",25,31,37,50,NA
"96","Wheat",27,34,40,55,"Tiller"
"97","Yam",160,200,240,320,NA
"98","Yam",176,220,264,352,"Tiller"
"99","Tea_Leaves",50,NA,NA,NA,NA
"100","Tea_Leaves",55,NA,NA,NA,"Tiller"
"101","Qi_Fruit",1,NA,NA,NA,NA
"102","Qi_Fruit",1,NA,NA,NA,"Tiller"
"103","Cactus_Fruit",75,93,112,150,NA
"104","Cactus_Fruit",82,102,123,165,"Tiller"
"105","Grape",80,100,120,160,NA
"106","Grape",88,110,132,176,"Tiller"
"107","Coffee_Bean",15,18,22,30,NA
"108","Wild_Plum",80,100,120,160,NA
"109","Blackberry",20,25,30,40,NA
"110","Spice_Berry",80,100,120,160,NA
"111","Crystal_Fruit",150,187,225,300,NA
